text,leaf_labels
【MAX TEA】印尼奶茶,奶茶
【McNulty】阿拉比卡拿鐵風味咖啡,拿鐵
【Mega Harvest】什錦榛果穀片,榛果;全穀類
【Mega Harvest】德國-什錦水果穀片,全穀類;水果
【Mega Harvest】德國-什錦穀片,全穀類
【Mega Harvest】德國-原味穀片,全穀類
【Meiji 明治】北海道香草風味牛奶雪糕,冰棒雪糕;牛奶;香草
【Melissa】台灣小農嚴選 八重櫻花蜂蜜,蜂蜜
【Melissa】台灣小農嚴選 木質龍眼蜂蜜,蜂蜜;龍眼
【Melissa】台灣小農嚴選 皇后玫瑰蜂蜜,蜂蜜
【Melissa】台灣小農嚴選 清香百花蜜蜂蜜,蜂蜜
【Melissa】台灣小農嚴選 貴妃荔枝蜂蜜,蜂蜜;荔枝
【MESKO 美士口】芋泥尬肉鬆厚片生吐司,芋頭;肉鬆;吐司
【MESKO 美士口】爆漿奶油餐包,奶油;麵包
【MESTEMACHER】什錦水果穀片,全穀類;水果
【MESTEMACHER】什錦榛果穀片,榛果;全穀類
【MESTEMACHER】綜合果麥片,麥片
【MESTEMACHER】德國原味穀片,全穀類
【MILO 美祿】高鈣可可麥芽牛奶,牛奶;可可;麥
【MILO美祿】巧克力麥芽飲品減糖配方,可可;飲品類;麥
【MILO美祿】營養活力經典原味,飲品類
【Minor Figures 小人物】燕麥奶,燕麥
【MOVENPICK】莫凡彼金牌原味即溶咖啡,咖啡
【MYZING-O】Myzing-o 酥炸魷魚條,魷魚
【NatureMax 家倍健】花蓮無毒山苦瓜原片茶包,茶類;蔬菜
【NISSIN 日清】日清楓糖果實綜合水果穀物脆,全穀類;水果;餅乾脆片;糖
【NISSIN 日清】宇治抹茶綜合水果穀物脆,全穀類;水果;綠茶抹茶;餅乾脆片
【NISSIN 日清】豐盛果實綜合水果穀物脆,全穀類;水果;餅乾脆片
【NK】韓國海苔酥-亞麻籽油口味,海苔;油類;堅果種子類
【NK】韓國海苔酥-原味,海苔
【NK】韓國海苔酥-核桃&杏仁口味,海苔;杏仁
【NK】韓國海苔酥-鯷魚&蝦子口味,海苔;魚類;蝦
【No Brand】起司魚板條,魚類;起司
【No Brand】蒟蒻果凍飲,蒟蒻;飲品類;果凍
【No Brand】蒟蒻果凍飲-百香果口味,蒟蒻;百香果;飲品類;果凍
【No Brand】蒟蒻果凍飲-青葡萄口味,蒟蒻;葡萄;飲品類;果凍
【No Brand】蒟蒻果凍飲-荔枝口味,蒟蒻;荔枝;飲品類;果凍
【No Brand】韓國海苔芝麻香鬆,海苔;芝麻
【No Brand】韓國海苔芝麻香鬆-柴魚口味,海苔;芝麻;魚類
【No Brand】韓國蜂蜜紅棗茶-果醬,蜂蜜;茶類;紅棗
【OATLY】咖啡師燕麥奶,燕麥
【Oatside 歐特賽】職人燕麥植物奶,燕麥
【OKF】玉米鬚茶,茶類;玉米
【OKF】韓國玉米鬚茶,茶類;玉米
【OMORIYA】職人海苔-原味,海苔
【OMORIYA】職人海苔-海帶昆布風味,海苔
【Orasi】咖啡師杏仁奶,杏仁
【ORIHIRO】ORIHIRO 吸吸蒟蒻果凍-水蜜桃風味,蒟蒻;水蜜桃;果凍
【ORIHIRO】ORIHIRO 吸吸蒟蒻果凍-葡萄風味,蒟蒻;葡萄;果凍
【ORIHIRO】ORIHIRO 吸吸蒟蒻果凍-麝香葡萄風味,蒟蒻;葡萄
【ORIHIRO】ORIHIRO 蒟蒻果凍-白桃風味,蒟蒻;水蜜桃;果凍
【ORIHIRO】ORIHIRO 蒟蒻果凍-草莓風味,蒟蒻;草莓;果凍
【ORIHIRO】ORIHIRO 蒟蒻果凍-葡萄風味,蒟蒻;葡萄;果凍
【ORIHIRO】ORIHIRO蒟蒻果凍-麝香葡萄風味,蒟蒻;葡萄;果凍
【ORIONJAKO】韓國麻油風味海苔,海苔;芝麻;油類
【ORIONJAKO】韓國嚴選味付海苔,海苔
【OSK】麥茶,茶類;麥
【OTTOGI 韓國不倒翁】韓式正Q冬粉,冬粉絲
【OTTOGI 韓國不倒翁】韓式正Q寬板條冬粉,冬粉絲
【PICKWICK】荷蘭品味伯爵茶,茶類
【PICKWICK】荷蘭品味森林莓果茶,茶類;莓果
【PICKWICK】荷蘭品味錫蘭茶,茶類
【POST】可可風味早餐脆片,餅乾脆片;可可
【POST】杏仁風味早餐脆片,餅乾脆片;杏仁
【POST】草莓風味早餐脆片,餅乾脆片;草莓
【POST】碎小麥早餐脆片,餅乾脆片;麥
【POST】蜂蜜風味早餐脆片,餅乾脆片;蜂蜜
【POST】蜂蜜風味花型脆片,餅乾脆片;蜂蜜
【POST】蔓越莓杏仁風味早餐脆片,餅乾脆片;杏仁;蔓越莓
【POST】藍莓風味早餐脆片,餅乾脆片;藍莓
【Q-LIFE 享活】天然享活有機黑木耳露,木耳
【Quaker 桂格】全天然高蛋白黑芝麻豆奶無添加糖,豆漿豆奶;芝麻
【Quaker 桂格】每日滿足蛋白穀物棒-藍莓可可,全穀類;藍莓;可可
【Quaker 桂格】每日滿足蛋白穀脆-可可鮮莓,全穀類;莓果;可可;餅乾脆片
【Quaker 桂格】每日滿足蛋白穀脆-莓果派對,全穀類;莓果;餅乾脆片
【Quaker 桂格】每日滿足蛋白穀脆-綜合水果,全穀類;水果;餅乾脆片
【Quaker 桂格】桂格濃湯燕麥-吻仔魚昆布風味,燕麥;魚類;蔬菜;濃湯
【Quaker 桂格】莓好果漾沖泡榖奶昔,全穀類;莓果;乳品類
【Quaker 桂格】減糖黑十穀,全穀類
【Red Bull 紅牛】巨峰葡萄風味能量飲料,飲品類;葡萄
【Red Bull 紅牛】能量飲料,飲品類
【RED COW紅牛】100%全脂奶粉 ,奶粉
【RED COW紅牛】全脂奶粉,奶粉
【Red Tractor】黃金高蛋白烤燕麥脆,燕麥;餅乾脆片
【Red Tractor】黃金高蛋白蜂蜜烘烤燕麥脆,燕麥;蜂蜜;餅乾脆片
【Red Tractor】黃金高蛋白蔓越莓烘烤燕麥脆,燕麥;蔓越莓;餅乾脆片
【RICHWELL】大麥麥茶,茶類;麥
【RICHWELL】宇治森德三角綠茶包,綠茶抹茶
【RICHWELL】宇治森德玄米茶包,茶類;糙米玄米
【RICHWELL】宇治森德綠茶茶包,綠茶抹茶
【RICHWELL】雀巢Excella瓶裝咖啡-無糖,咖啡
【ROASTA】冷研拿鐵咖啡,拿鐵
【ROASTA】冷研無糖黑咖啡,黑咖啡
【ROASTA】咖啡拿鐵,拿鐵
【ROASTA】無糖黑咖啡,黑咖啡
【ROASTA洛塔】冷研無糖黑咖啡 ,黑咖啡
【SAJO】SAJO韓國海苔酥,海苔
【SAJO】冬粉,冬粉絲
【SAJO】炒海苔-原味,海苔
【SAJO】韓國海苔酥,海苔
【SAJO】韓國海苔酥-蝦子&鯷魚口味,海苔;蝦;魚類
【Sangaria】黑豆茶,茶類;豆類
【Starbucks 星巴克】特選系列-太妃核果風味咖啡,咖啡;堅果種子類
【Starbucks 星巴克】特選系列-太妃核果風味拿鐵,拿鐵;堅果種子類
【Starbucks 星巴克】濾掛咖啡 派克市場烘焙咖啡,咖啡
【SUNLEE】米粉,米粉炊粉
【SUNLEE】調和米粉條,米粉炊粉
【Suntory 三得利】Green dakara 玉米茶,茶類;玉米
【Suntory 三得利】伊右衛門熱茶系列,茶類
【SUPER】超級三合一原味奶茶,奶茶
【SUPER】超級三合一原味即溶咖啡,咖啡
【SUPER】超級三合一原味減糖奶茶,奶茶
【SUPER】超級三合一特濃即溶咖啡,咖啡
【SWISS MISS】牛奶可可粉-棉花糖,可可;牛奶;糖果
【SWISS MISS】香醇牛奶可可粉,可可;牛奶
【SWISS MISS】黑摩卡風味可可粉,可可
【SWISS MISS】義式榛果風味可可粉,可可;榛果
【SWISS MISS】熱可可粉/牛奶巧克力,可可;牛奶
【SWISS MISS】濃情棉花糖熱可可粉,可可;糖果
【TARAMI】TARAMI果凍杯,果凍
【TARAMI】吸吸果凍水蜜桃,果凍;水蜜桃
【TARAMI】吸吸果凍白葡萄,果凍;葡萄
【TARAMI】吸吸果凍葡萄,果凍;葡萄
【TARAMI】吸吸果凍蘋果,果凍;蘋果
【TARAMI】吸果凍 ,果凍
【TARAMI】果凍杯,果凍
【TGC 台灣咖啡莊園】台灣古坑滴濾式咖啡,咖啡
【TGC 台灣咖啡莊園】阿里山滴濾式咖啡,咖啡
【TGC 台灣咖啡莊園】滴濾式咖啡,咖啡
【Tipo】皇家經典曲奇餅-奶油口味,餅乾脆片;奶油
【Tipo】皇家經典曲奇餅-巧克力口味,可可;餅乾脆片
【TOPDRY 頂級乾燥】厚切海苔燒,海苔
【TSUBOICHI SEICHA】TSUBOICHI 製茶本舖 宇治抹茶粉,綠茶抹茶
【TTL 台酒】紅麴黑麥汁,汽水;麥
【TTL 台酒】原味黑麥汁,汽水;麥
【Twinings 唐寧茶】 皇家伯爵茶,茶類
【Twinings 唐寧茶】英倫早餐茶,茶類
【Twinings 唐寧茶】極品錫蘭茶,茶類
【Twinings 唐寧茶】綜合野莓茶,茶類;莓果
【TWININGS】仕女伯爵茶,茶類
【TWININGS】四紅果茶,茶類;水果
【TWININGS】香甜蜜桃茶,茶類;水蜜桃
【TWININGS】唐寧伯爵茶,茶類
【TWININGS】歐式大吉嶺茶,茶類
【TWS】元色金冰糖,糖
【TWS】台灣味黑糖,黑糖
【TWS】台灣維生手工純黑糖,黑糖
【TWS】台灣維生方糖,糖
【TWS】台灣維生古早冰糖,糖
【TWS】台灣維生細粒紅冰糖,糖
【TWS】紅冰糖,糖
【TWS】特製紅糖,糖
【TWS】細粒冰糖,糖
【T世家】有機綠茶三角立體茶包,綠茶抹茶
【T世家】冷泡茶-玄米煎茶,茶類;糙米玄米
【T世家】冷泡茶-茉香綠茶,綠茶抹茶
【T世家】冷泡茶-烏龍茶,烏龍青茶
【T世家】抹茶粉,綠茶抹茶
【T世家】阿里山茶,茶類
【T世家】阿里山高山茶,茶類
【T世家】雨林紅茶簡易包,紅茶
【T世家】原片茉香綠茶,綠茶抹茶
【T世家】桂花釀茶,茶類
【T世家】極品阿里山茶,茶類
【T世家】極品凍頂烏龍,烏龍青茶
【T世家】碧螺春綠茶,綠茶抹茶
【T世家】福爾摩沙紅茶,紅茶
【T世家】精選茉香綠茶包,綠茶抹茶
【T世家】精選凍頂烏龍茶包,烏龍青茶
【T世家】精選錫蘭紅茶包,紅茶
【T世家】鮮露金萱烏龍三角立體茶包,烏龍青茶
【T世家】鮮露紅茶三角立體茶包,紅茶
【UCC】AROMA BREW艾洛瑪水果風味咖啡,咖啡;水果
【UCC】AROMA BREW艾洛瑪拿鐵 ,拿鐵
【UCC】AROMA BREW艾洛瑪黑咖啡 ,黑咖啡
【UCC】Aroma 拿鐵咖啡,拿鐵
【UCC】Aroma 黑咖啡,黑咖啡
【UCC】BLACK無糖咖啡,咖啡
【UCC】BLACK無糖黑咖啡飲料,黑咖啡
【UCC】Special 精製即溶咖啡,咖啡
【UCC】UCC Aroma 拿鐵咖啡,拿鐵
【UCC】UCC Aroma 黑咖啡,黑咖啡
【UCC】艾洛瑪氣泡柚子風味咖啡,咖啡;柚子
【UCC】艾洛瑪氣泡黑咖啡/無糖,黑咖啡
【UCC】冷泡義式香濃拿鐵,拿鐵
【UCC】冷泡鹽味焦糖風味拿鐵,拿鐵;鹽;焦糖
【UCC】即溶咖啡粉,咖啡
【UCC】典藏風味濾掛式咖啡,咖啡
【UCC】法式深焙濾掛式咖啡,咖啡
【UCC】冠軍監修甘醇橙香濾掛式咖啡,咖啡;柳橙
【UCC】冠軍監修醇香果調濾掛式咖啡,咖啡;水果
【UCC】冠軍監修濾掛式咖啡-蜜柑堅果,咖啡;柑橘;堅果種子類
【UCC】炭燒即溶咖啡,咖啡
【UCC】炭燒濾掛式咖啡,咖啡
【UCC】浸泡式咖啡-甘甜果香,咖啡;水果
【UCC】浸泡式咖啡-香醇堅果,咖啡;堅果種子類
【UCC】無糖黑咖啡,黑咖啡
【UCC】職人冰咖啡 ,咖啡
【UCC】職人柔和果香濾掛式咖啡,咖啡;水果
【UCC】職人香濃綜合即溶咖啡,咖啡
【UMM】印加果綠咖啡  防彈咖啡,咖啡;堅果種子類
【Vinacafe】三合一即溶咖啡,咖啡
【Viola】德國可可香蕉片脆穀片,全穀類;香蕉;可可;餅乾脆片
【Viola】德國草莓脆穀片,全穀類;草莓;餅乾脆片
【Viola】德國經典可可脆穀片,全穀類;可可;餅乾脆片
【Viola】德國經典杏仁脆穀片,全穀類;杏仁;餅乾脆片
【Weet-Bix】澳洲全榖片Mini-酥脆巧克,全穀類;可可
【YAMAEI】煙燻起司魷魚,魷魚;起司
【一碗好麵】螺螄粉專用米粉,米粉炊粉
【九如商號】芝麻湯圓,全穀類;芝麻
【九如商號】花生湯圓,全穀類;花生
【九如商號】鮮肉湯圓,全穀類;肉類
【九福】草莓酥,草莓;點心類
【九福】鳳梨酥,鳳梨;點心類
【九福】藍莓酥,藍莓;點心類
【人和園】人和園雲南菜 五行菇菇湯,湯品;菌菇
【人和園】人和園雲南菜 雲滇紅燒肉,肉類
【人和園】人和園雲南菜 酸菜肉末花枝,肉類;花枝;酸菜
【人和園】人和園雲南菜 蘆筍百合,筍子
【刁民】預購秘罈酸菜魚套組,魚類;酸菜
【十六茶】零咖啡因複方茶,茶類
【十全】十全綜合果醋,醋
【十全】十全綜合蒟蒻,蒟蒻
【十全】純正香油,油類
【十穀米】同心餅-陽光海苔,海苔
【卜祥】老中醫豆干/豆丁,豆干
【卜蜂】香檸風味烤雞翅,雞;檸檬
【卜蜂】紐奧良辣烤雞翅,雞;辣椒
【卜蜂】蒜香烤雞翅,雞;蒜
【卜蜂】醃漬去骨雞腿排(原味),雞
【卜蜂】醃漬去骨雞腿排(黑胡椒),雞;胡椒
【三井】三溫糖,糖
【三味屋】苔嗑厚切海苔-椒鹽風味,海苔;鹽;胡椒
【三味屋】雅系列 日式 柚香 海苔 ,海苔;柚子
【三味屋】雅系列 日式 梅子 海苔  ,海苔;梅子
【三味屋】雅系列 日式醬香海苔 ,海苔
【三味屋】韓式岩燒海苔(原味),海苔
【三味屋】韓式岩燒海苔(辣味),辣椒;海苔
【三花】粉絲,冬粉絲
【三記】手工魚餃,魚類;餃子
【三記】手工蝦餃,蝦;餃子
【三頓飯】經典主廚牛肉麵-三種口味選,牛;麵
