"text","labels"
"[BIO-TECH 台酒生技]烏梅黑麥汁","Root;食材;全穀類;其它類;水果;梅子;飲品類;麥;汽水"
"[BOSS]CRAFT BOSS香檸梅風味飲料","Root;食材;其它類;水果;柑橘;梅子;飲品類;檸檬"
"[BT21]三切岩燒海苔-戀之梅口味","Root;食材;水果;蔬菜;梅子;海苔"
"[BUCKINGHAM]現貨|法國白蘭地水果蛋糕","Root;食材;其它類;水果;飲品類;點心類;蛋糕;酒"
"[BUCKINGHAM]現貨|英國香料水果蛋糕","Root;食材;其它類;水果;點心類;蛋糕"
"[BUCKINGHAM]現貨|英國櫻桃水果蛋糕","Root;食材;其它類;水果;點心類;蛋糕"
"[BUCKINGHAM]現貨|經典英式水果蛋糕","Root;食材;其它類;水果;點心類;蛋糕"
"[BUCKINGHAM]現貨|蘇格蘭威士忌水果蛋糕","Root;食材;其它類;水果;飲品類;點心類;蛋糕;酒"
"[C7]速溶黑咖啡","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"[CACHA 卡恰]預購卡恰土魠魚捲燒","Root;食材;海鮮;魚類"
"[CACHA 卡恰]預購卡恰飛魚捲燒","Root;食材;海鮮;魚類"
"[CALBEE]富果樂水果麥片","Root;食材;其它類;水果;點心類;餅乾脆片;麥片"
"[CALBEE]富果樂減糖水果麥片","Root;食材;其它類;水果;點心類;餅乾脆片;麥片"
"[cama cafe]即溶精品黑咖啡","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"[cama cafe]極珍選批次奶油胡桃濾掛式咖啡-中焙","Root;食材;乳品類;其它類;堅果種子類;奶油;飲品類;咖啡"
"[cama cafe]極珍選批次濾掛式咖啡-中焙可可堅","Root;食材;其它類;堅果種子類;可可;飲品類;咖啡"
"[cammie]桔梗麥冬茶","Root;食材;全穀類;其它類;飲品類;麥;茶類"
"[CAOTINA]頂級瑞士白巧克力粉","Root;食材;堅果種子類;可可"
"[CAOTINA]頂級瑞士黑巧克力粉","Root;食材;堅果種子類;可可"
"[Carman's]低糖覆盆莓椰子穀脆脆","Root;食材;全穀類;其它類;水果;椰子;莓果;點心類;餅乾脆片"
"[Carman's]草莓莓果脆穀塊","Root;食材;全穀類;其它類;水果;莓果;點心類;草莓;餅乾脆片"
"[Carman's]高蛋白杏仁榛果穀脆脆","Root;食材;全穀類;其它類;堅果種子類;杏仁;榛果;點心類;餅乾脆片"
"[Carman's]甜蜜蘋果脆穀塊","Root;食材;全穀類;其它類;水果;蘋果;點心類;餅乾脆片"
"[Carman's]綜合莓果穀物燕麥片","Root;食材;全穀類;其它類;水果;莓果;麥;點心類;燕麥;餅乾脆片;麥片"
"[ChaTraMue]泰式紅茶-無色素版","Root;食材;其它類;飲品類;茶類;紅茶"
"[ChaTraMue]泰國手標三合一泰式奶茶隨身包","Root;食材;其它類;飲品類;茶類;奶茶"
"[Chiiiiiiiii 奇動]能量飲 黃金柚風味","Root;食材;其它類;水果;柑橘;飲品類;柚子"
"[Chiiiiiiiii 奇動]能量飲-熱帶百香果","Root;食材;其它類;水果;百香果;飲品類"
"[CHILL 愛吃]油切仙楂烏梅茶","Root;食材;其它類;水果;梅子;飲品類;茶類"
"[CHILL 愛吃]黑糖老薑片","Root;食材;其它類;蔬菜;薑;調味料;糖;黑糖"
"[CJ]白雪韓式冬粉","Root;食材;全穀類;冬粉絲"
"[COMEBUY]蘋果冰茶生乳捲","Root;食材;乳品類;其它類;水果;奶油;蘋果;飲品類;點心類;茶類"
"[Corsini]特選咖啡粉","Root;食材;其它類;飲品類;咖啡"
"[Corsini]深焙咖啡粉","Root;食材;其它類;飲品類;咖啡"
"[CS22]Topdry頂級乾燥 厚切海苔燒","Root;食材;蔬菜;海苔"
"[CS22]金駿眉高山茶茶葉鐵罐套組","Root;食材;其它類;飲品類;茶類"
"[CS22]紅棗玉竹雞湯","Root;食材;其它類;肉類;中藥材;複合食品;雞;湯品;紅棗"
"[CS22]香菇雞湯","Root;食材;其它類;肉類;蔬菜;菌菇;複合食品;雞;湯品;香菇"
"[CS22]泰國小當家日式半切海苔_原味","Root;食材;蔬菜;海苔"
"[CS22]泰國小當家日式半切海苔_辣味","Root;食材;蔬菜;海苔;辣椒"
"[CS22]麻油雞湯","Root;食材;其它類;堅果種子類;油類;肉類;芝麻;複合食品;雞;湯品"
"[CS22]雍正御製速溶原味普洱熟茶膏","Root;食材;其它類;飲品類;茶類"
"[CS22]藥膳仙草雞湯","Root;食材;其它類;肉類;中藥材;複合食品;雞;仙草;湯品"
"[Day Choose 果日優選]HPP冷壓綜合纖果銀耳露","Root;食材;蔬菜;菌菇;木耳"
"[DODO SUGAR]渡渡鳥模里西斯金砂黑糖","Root;食材;其它類;調味料;糖;黑糖"
"[DR.DIARY 醫生健康日記]鵝油香蔥","Root;食材;油類;蔬菜;蔥"
"[DRIPO 牧場]紅茶牛乳即溶飲品","Root;食材;乳品類;其它類;牛奶;飲品類;茶類;紅茶"
"[DyDo]日式拿鐵咖啡","Root;食材;其它類;飲品類;咖啡;拿鐵"
"[DyDo]日式黑咖啡","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"[DyDo]復刻堂可可風味飲/牛奶風味飲","Root;食材;乳品類;其它類;堅果種子類;可可;牛奶;飲品類"
"[EILLES]皇家即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"[EILLES]德國Eilles皇家洋甘菊茶","Root;食材;其它類;飲品類;茶類"
"[EILLES]德國皇家伯爵茶","Root;食材;其它類;飲品類;茶類"
"[EILLES]德國皇家英式錫蘭茶","Root;食材;其它類;飲品類;茶類"
"[EILLES]德國皇家薄荷茶","Root;食材;其它類;飲品類;茶類"
"[EiRAKU 永樂]永樂烏龍茶","Root;食材;其它類;飲品類;茶類;烏龍青茶"
"[EiRAKU 永樂]永樂普洱茶","Root;食材;其它類;飲品類;茶類"
"[EiRAKU 永樂]嚴選冬摘高山烏龍茶禮盒","Root;食材;其它類;飲品類;茶類;烏龍青茶"
"[EZCHEF]香酥熱狗棒","Root;食材;肉類;加工肉品;火腿熱狗"
"[foodpro]北海道牛奶風味雪餅","Root;食材;乳品類;其它類;牛奶;點心類;餅乾脆片"
"[FUZE TEA 飛想茶]檸檬紅茶","Root;食材;其它類;水果;柑橘;飲品類;檸檬;茶類;紅茶"
"[G7]Gold Picasso拿鐵三合一即溶咖啡","Root;食材;其它類;飲品類;咖啡;拿鐵"
"[G7]Gold Rumi三合一即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"[G7]Legend 卡布其諾咖啡-椰奶風味","Root;食材;其它類;椰子;飲品類;咖啡"
"[G7]三合一即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"[G7]卡布奇諾咖啡-榛果風味","Root;食材;其它類;堅果種子類;榛果;飲品類;咖啡"
"[G7]卡布奇諾咖啡-摩卡風味","Root;食材;其它類;堅果種子類;可可;飲品類;咖啡"
"[G7]純咖啡量販包","Root;食材;其它類;飲品類;咖啡"
"[G7]傳奇經典三合一即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"[GEORGIA喬亞]焦糖風味雲朵拿鐵","Root;食材;其它類;調味料;飲品類;咖啡;糖;拿鐵;焦糖"
"[GEORGIA喬亞]榛果白巧克力風味雲朵拿鐵","Root;食材;其它類;堅果種子類;可可;榛果;飲品類;咖啡;拿鐵"
"[GEORGIA喬亞]滴濾拿鐵咖啡","Root;食材;其它類;飲品類;咖啡;拿鐵"
"[GEORGIA喬亞]滴濾無糖黑咖啡","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"[Gold Thon]D197貓山王榴槤冰淇淋","Root;食材;其它類;水果;冰品;冰淇淋"
"[Gold Thon]D24蘇丹王榴槤冰淇淋","Root;食材;其它類;水果;冰品;冰淇淋"
"[Gold Thon]貓山王榴槤披薩","Root;食材;全穀類;水果;麵餅"
"[Gold Thon]貓山王榴槤蛋塔","Root;食材;其它類;水果;蛋類;點心類"
"[Gold Thon]貓山王榴槤麻糬","Root;食材;全穀類;水果;米;麻糬"
"[GOOD DAY]三合一咖啡-原味","Root;食材;其它類;飲品類;咖啡"
"[GOOD DAY]三合一咖啡-榛果","Root;食材;其它類;堅果種子類;榛果;飲品類;咖啡"
"[GOOD DAY]三合一咖啡-摩卡","Root;食材;其它類;堅果種子類;可可;飲品類;咖啡"
"[GOOD TODAY]GOOD TODAY 冰茶","Root;食材;其它類;飲品類;茶類"
"[GOOD TODAY]GOOD TODAY美式咖啡","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"[GOOD TODAY]美式咖啡","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"[GOOD TODAY]蜂蜜檸檬茶-果醬","Root;食材;其它類;水果;柑橘;點心類;檸檬;蜂蜜"
"[GOOD TODAY]零卡冰茶-水蜜桃口味","Root;食材;其它類;水果;水蜜桃;飲品類;茶類"
"[GOOD TODAY]蒟蒻果凍飲-水蜜桃風味","Root;食材;其它類;水果;水蜜桃;飲品類;點心類;果凍;蒟蒻"
"[GOOD TODAY]蒟蒻果凍飲-石榴風味","Root;食材;其它類;水果;飲品類;點心類;果凍;蒟蒻"
"[GOOD TODAY]蒟蒻果凍飲-青葡萄風味","Root;食材;其它類;水果;葡萄;飲品類;點心類;果凍;蒟蒻"
"[GOOD TODAY]薑茶-果醬","Root;食材;其它類;蔬菜;薑;飲品類;茶類"
"[GS MALL]黑糖桂圓紅棗薑母茶磚","Root;食材;其它類;水果;蔬菜;中藥材;薑;調味料;飲品類;龍眼;糖;紅棗;茶類;黑糖"
"[HEARTS]即溶卡布奇諾-白咖啡","Root;食材;其它類;飲品類;咖啡"
"[HEARTS]即溶卡布奇諾-甜味","Root;食材;其它類;飲品類;咖啡"
"[HEARTS]即溶卡布奇諾-維也納調和風味","Root;食材;其它類;飲品類;咖啡"
"[HEARTS]即溶可可飲","Root;食材;堅果種子類;可可"
"[Hellmann's]La Perruche白方糖","Root;食材;其它類;調味料;糖"
"[Hellmann's]La Perruche紅方糖","Root;食材;其它類;調味料;糖"
"[Hershey's 好時]100%純可可粉","Root;食材;堅果種子類;可可"
"[HOYA]植物肉乾-川味朝天椒風味","Root;食材;肉類;蔬菜;加工肉品;辣椒;肉乾"
"[HOYA]植物肉乾-台式鹹酥雞","Root;食材;肉類;加工肉品;雞;肉乾"
"[HOYA]植物肉乾-法式松露風味","Root;食材;肉類;蔬菜;加工肉品;菌菇;松露;肉乾"
"[HOYA]植物肉乾-美式黑胡椒","Root;食材;其它類;肉類;加工肉品;調味料;肉乾;胡椒"
"[HOYA]植物肉乾-泰式檸檬風味","Root;食材;水果;肉類;加工肉品;柑橘;檸檬;肉乾"
"[HOYA]植物肉乾-韓式辣雞風味","Root;食材;肉類;蔬菜;加工肉品;辣椒;雞;肉乾"
"[HOYA]植物海味-芥末鱈魚絲風味","Root;食材;海鮮;魚類;鱈魚"
"[HOYA]植物海味-酸辣魷魚片風味","Root;食材;海鮮;蔬菜;辣椒;魷魚"
"[IDEE]金牌即溶咖啡-低刺激性","Root;食材;其它類;飲品類;咖啡"
"[ILLY]中度烘焙咖啡粉","Root;食材;其它類;飲品類;咖啡"
"[ILLY]中度烘焙摩卡咖啡粉","Root;食材;其它類;堅果種子類;可可;飲品類;咖啡"
"[ILLY]低咖啡因咖啡粉","Root;食材;其它類;飲品類;咖啡"
"[ILLY]深度烘焙咖啡粉","Root;食材;其它類;飲品類;咖啡"
"[ILLY]濾泡式咖啡粉","Root;食材;其它類;飲品類;咖啡"
"[IRVINS 黑鴨]新加坡鹹蛋黃魚皮-原味/嗆辣","Root;食材;海鮮;蔬菜;蛋類;辣椒;魚類"
"[ITO SEIKA]ORIHIRO 蒟蒻果凍-蜜柑風味","Root;食材;其它類;水果;柑橘;點心類;果凍;蒟蒻"
"[Ito-En 伊藤園]Teas' Tea 蜜桃紅茶","Root;食材;其它類;水果;水蜜桃;飲品類;茶類;紅茶"
"[Ito-En 伊藤園]Teas' Tea 蘋果紅茶","Root;食材;其它類;水果;蘋果;飲品類;茶類;紅茶"
"[JACOBS]奶香即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"[JACOBS]黃金即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"[JELLY.B]低卡蒟蒻果凍","Root;食材;其它類;點心類;果凍;蒟蒻"
"[Jereteria]水蜜桃果凍飲","Root;食材;其它類;水果;水蜜桃;飲品類;點心類;果凍"
"[Jereteria]麝香葡萄果凍飲","Root;食材;其它類;水果;葡萄;飲品類;點心類;果凍"
"[KAARO]乳酸風味果凍條","Root;食材;其它類;點心類;果凍"
"[KAKAO FRIENDS]海苔酥","Root;食材;蔬菜;海苔"
"[KANU]KANU 美式咖啡-重烘焙","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"[KANU]KANU 美式咖啡-輕度烘焙","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"[KANU]三倍濃縮拿鐵","Root;食材;其它類;飲品類;咖啡;拿鐵"
"[KANU]香草風味拿鐵","Root;食材;其它類;調味料;飲品類;咖啡;香草;拿鐵"
"[KANU]拿鐵","Root;食材;其它類;飲品類;咖啡;拿鐵"
"[KANU]提拉米蘇風味拿鐵","Root;食材;其它類;飲品類;點心類;咖啡;拿鐵"
"[KANU]雙倍濃縮拿鐵","Root;食材;其它類;飲品類;咖啡;拿鐵"
"[KATAOKA BUSSAN]VAN HOUTEN 72%特濃可可粉","Root;食材;堅果種子類;可可"
"[KATAOKA BUSSAN]VAN HOUTEN 牛奶可可粉","Root;食材;乳品類;堅果種子類;可可;牛奶"
"[KEY COFFEE]DRIP ON總匯濾掛咖啡隨身包","Root;食材;其它類;飲品類;咖啡"
"[KEY COFFEE]特級深焙即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"[KEY COFFEE]歐蕾專用即溶咖啡","Root;食材;乳品類;其它類;牛奶;飲品類;咖啡"
"[KHAO SHONG]冰咖啡-即溶","Root;食材;其它類;飲品類;咖啡"
"[KHAO SHONG]即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"[KHAO SHONG]義式濃縮3合1咖啡","Root;食材;其它類;飲品類;咖啡"
"[KIRIN 麒麟]大罐生茶","Root;食材;其它類;飲品類;茶類"
"[KIRIN 麒麟]午後紅茶 原味紅茶","Root;食材;其它類;飲品類;茶類;紅茶"
"[KIRIN 麒麟]午後紅茶 檸檬紅茶","Root;食材;其它類;水果;柑橘;飲品類;檸檬;茶類;紅茶"
"[KIRIN 麒麟]午後紅茶-奶茶","Root;食材;其它類;飲品類;茶類;奶茶"
"[KIRIN 麒麟]午後紅茶-皇家奶茶","Root;食材;其它類;飲品類;茶類;奶茶"
"[KIRIN 麒麟]午後紅茶-無糖紅茶","Root;食材;其它類;飲品類;茶類;紅茶"
"[KIRIN 麒麟]生茶","Root;食材;其它類;飲品類;茶類"
"[KitKat]巧克力早餐脆片","Root;食材;其它類;堅果種子類;可可;點心類;餅乾脆片"
"[KONOMI 相撲手]Roll Stick 烤海苔-香辣","Root;食材;蔬菜;海苔;辣椒"
"[KONOMI 相撲手]Roll Stick 烤海苔-原味","Root;食材;蔬菜;海苔"
"[KONOMI 相撲手]烤紫菜-BBQ風味","Root;食材;蔬菜;海苔"
"[KONOMI 相撲手]烤紫菜-柚子味","Root;食材;水果;蔬菜;柑橘;海苔;柚子"
"[KONOMI 相撲手]脆紫菜-山葵風味","Root;食材;蔬菜;海苔"
"[KOPIKO]L.A.三合一即溶白咖啡","Root;食材;其它類;飲品類;咖啡"
"[KOPIKO]三合一即溶濃醇咖啡","Root;食材;其它類;飲品類;咖啡"
"[Kotsam 花泉]蜂蜜柚子茶球","Root;食材;其它類;水果;柑橘;飲品類;點心類;柚子;茶類;蜂蜜"
"[KO咖啡王]ROASTA冷研無糖黑咖啡","Root;食材;其它類;飲品類;咖啡;黑咖啡"
"[LAVAZZA]QUALITA ORO金罐咖啡粉","Root;食材;其它類;飲品類;咖啡"
"[Lee Squad Leader]李班長全張海苔","Root;食材;蔬菜;海苔"
"[Lee Squad Leader]李班長壽司海苔","Root;食材;蔬菜;海苔"
"[LOTTE 樂天]玉米鬚茶","Root;食材;全穀類;其它類;玉米;飲品類;茶類"
"[Magi Planet]星球工坊-玉米濃湯","Root;食材;全穀類;其它類;玉米;複合食品;湯品;濃湯"
"[Magi Planet]星球工坊-玫瑰鹽焦糖","Root;食材;其它類;調味料;糖;鹽;焦糖"
"[Magi Planet]星球工坊-特濃起司","Root;食材;乳品類;起司"
"[Magi Planet]星球工坊-草莓牛奶","Root;食材;乳品類;水果;牛奶;莓果;草莓"
"[Magi Planet]星球工坊-雙色地瓜","Root;食材;全穀類;地瓜"
"[MAGMAG]超夯蜜餞-還魂梅","Root;食材;水果;梅子"
"[MAX TEA]印尼奶茶","Root;食材;其它類;飲品類;茶類;奶茶"
"[McNulty]阿拉比卡拿鐵風味咖啡","Root;食材;其它類;飲品類;咖啡;拿鐵"
"[Mega Harvest]什錦榛果穀片","Root;食材;全穀類;堅果種子類;榛果"
"[Mega Harvest]德國-什錦水果穀片","Root;食材;全穀類;水果"
"[Mega Harvest]德國-什錦穀片","Root;食材;全穀類"
"[Mega Harvest]德國-原味穀片","Root;食材;全穀類"
"[Meiji 明治]北海道香草風味牛奶雪糕","Root;食材;乳品類;其它類;冰品;牛奶;調味料;冰棒雪糕;香草"
"[Melissa]台灣小農嚴選 八重櫻花蜂蜜","Root;食材;其它類;點心類;蜂蜜"
"[Melissa]台灣小農嚴選 木質龍眼蜂蜜","Root;食材;其它類;水果;點心類;龍眼;蜂蜜"
"[Melissa]台灣小農嚴選 皇后玫瑰蜂蜜","Root;食材;其它類;點心類;蜂蜜"
"[Melissa]台灣小農嚴選 清香百花蜜蜂蜜","Root;食材;其它類;點心類;蜂蜜"
"[Melissa]台灣小農嚴選 貴妃荔枝蜂蜜","Root;食材;其它類;水果;荔枝;點心類;蜂蜜"
"[MESKO 美士口]芋泥尬肉鬆厚片生吐司","Root;食材;全穀類;肉類;加工肉品;芋頭;麵包;吐司;肉鬆"
"[MESKO 美士口]爆漿奶油餐包","Root;食材;乳品類;全穀類;奶油;麵包"
"[MESTEMACHER]什錦水果穀片","Root;食材;全穀類;水果"
"[MESTEMACHER]什錦榛果穀片","Root;食材;全穀類;堅果種子類;榛果"
"[MESTEMACHER]綜合果麥片","Root;食材;其它類;點心類;餅乾脆片;麥片"
"[MESTEMACHER]德國原味穀片","Root;食材;全穀類"
"[MILO 美祿]高鈣可可麥芽牛奶","Root;食材;乳品類;全穀類;堅果種子類;可可;牛奶;麥"
"[MILO美祿]巧克力麥芽飲品減糖配方","Root;食材;全穀類;其它類;堅果種子類;可可;飲品類;麥"
"[MILO美祿]營養活力經典原味","Root;食材;其它類;飲品類"
"[Minor Figures 小人物]燕麥奶","Root;食材;全穀類;麥;燕麥"
"[MOVENPICK]莫凡彼金牌原味即溶咖啡","Root;食材;其它類;飲品類;咖啡"
"[MYZING-O]Myzing-o 酥炸魷魚條","Root;食材;海鮮;魷魚"
"[NatureMax 家倍健]花蓮無毒山苦瓜原片茶包","Root;食材;其它類;蔬菜;飲品類;茶類"
"[NISSIN 日清]日清楓糖果實綜合水果穀物脆","Root;食材;全穀類;其它類;水果;調味料;點心類;糖;餅乾脆片"
"[NISSIN 日清]宇治抹茶綜合水果穀物脆","Root;食材;全穀類;其它類;水果;飲品類;點心類;茶類;餅乾脆片;綠茶抹茶"
"[NISSIN 日清]豐盛果實綜合水果穀物脆","Root;食材;全穀類;其它類;水果;點心類;餅乾脆片"
"[NK]韓國海苔酥-亞麻籽油口味","Root;食材;堅果種子類;油類;蔬菜;海苔"
"[NK]韓國海苔酥-原味","Root;食材;蔬菜;海苔"
"[NK]韓國海苔酥-核桃&杏仁口味","Root;食材;堅果種子類;蔬菜;杏仁;海苔"
"[NK]韓國海苔酥-鯷魚&蝦子口味","Root;食材;海鮮;蔬菜;海苔;甲殼類;魚類;蝦"
"[No Brand]起司魚板條","Root;食材;乳品類;海鮮;起司;魚類"
"[No Brand]蒟蒻果凍飲","Root;食材;其它類;飲品類;點心類;果凍;蒟蒻"
"[No Brand]蒟蒻果凍飲-百香果口味","Root;食材;其它類;水果;百香果;飲品類;點心類;果凍;蒟蒻"
"[No Brand]蒟蒻果凍飲-青葡萄口味","Root;食材;其它類;水果;葡萄;飲品類;點心類;果凍;蒟蒻"
"[No Brand]蒟蒻果凍飲-荔枝口味","Root;食材;其它類;水果;荔枝;飲品類;點心類;果凍;蒟蒻"
"[No Brand]韓國海苔芝麻香鬆","Root;食材;堅果種子類;蔬菜;海苔;芝麻"
"[No Brand]韓國海苔芝麻香鬆-柴魚口味","Root;食材;堅果種子類;海鮮;蔬菜;海苔;芝麻;魚類"
"[No Brand]韓國蜂蜜紅棗茶-果醬","Root;食材;其它類;中藥材;飲品類;點心類;紅棗;茶類;蜂蜜"
"[OATLY]咖啡師燕麥奶","Root;食材;全穀類;麥;燕麥"
"[Oatside 歐特賽]職人燕麥植物奶","Root;食材;全穀類;麥;燕麥"
"[OKF]玉米鬚茶","Root;食材;全穀類;其它類;玉米;飲品類;茶類"
"[OKF]韓國玉米鬚茶","Root;食材;全穀類;其它類;玉米;飲品類;茶類"
"[OMORIYA]職人海苔-原味","Root;食材;蔬菜;海苔"
"[OMORIYA]職人海苔-海帶昆布風味","Root;食材;蔬菜;海苔"
"[Orasi]咖啡師杏仁奶","Root;食材;堅果種子類;杏仁"
"[ORIHIRO]ORIHIRO 吸吸蒟蒻果凍-水蜜桃風味","Root;食材;其它類;水果;水蜜桃;點心類;果凍;蒟蒻"
"[ORIHIRO]ORIHIRO 吸吸蒟蒻果凍-葡萄風味","Root;食材;其它類;水果;葡萄;點心類;果凍;蒟蒻"
"[ORIHIRO]ORIHIRO 吸吸蒟蒻果凍-麝香葡萄風味","Root;食材;其它類;水果;葡萄;點心類;蒟蒻"
"[ORIHIRO]ORIHIRO 蒟蒻果凍-白桃風味","Root;食材;其它類;水果;水蜜桃;點心類;果凍;蒟蒻"
"[ORIHIRO]ORIHIRO 蒟蒻果凍-草莓風味","Root;食材;其它類;水果;莓果;點心類;果凍;草莓;蒟蒻"
"[ORIHIRO]ORIHIRO 蒟蒻果凍-葡萄風味","Root;食材;其它類;水果;葡萄;點心類;果凍;蒟蒻"
"[ORIHIRO]ORIHIRO蒟蒻果凍-麝香葡萄風味","Root;食材;其它類;水果;葡萄;點心類;果凍;蒟蒻"
